Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
23:10:25.834795, 3, 32, 18, 8987/11016, 85.22800000000001/250.0, 68, 1350
23:10:26.838092, 0, 35, 8, 8889/11019, 73.906/250.0, 53, 1530
23:10:26.840375, 1, 33, 12, 8889/11019, 64.626/250.0, 52, 1350
23:10:26.843057, 2, 43, 16, 8889/11019, 130.424/250.0, 65, 1845
23:10:26.849278, 3, 34, 18, 8987/11016, 76.024/250.0, 68, 1350
23:10:27.853174, 0, 32, 8, 8889/11019, 70.724/250.0, 53, 1350
23:10:27.856976, 1, 34, 12, 8889/11019, 68.678/250.0, 52, 1350
23:10:27.860254, 2, 43, 16, 8889/11019, 124.303/250.0, 66, 1845
23:10:27.862737, 3, 34, 18, 8987/11016, 87.799/250.0, 68, 1425
23:10:28.866784, 0, 32, 7, 8889/11019, 67.501/250.0, 53, 1350
23:10:28.871174, 1, 34, 12, 8889/11019, 67.693/250.0, 52, 1350
23:10:28.873898, 2, 42, 16, 8889/11019, 119.72800000000001/250.0, 66, 1845
23:10:28.876864, 3, 33, 19, 8987/11016, 87.48400000000001/250.0, 68, 1425
23:10:29.880384, 0, 32, 7, 8889/11019, 69.331/250.0, 52, 1350
23:10:29.882672, 1, 32, 12, 8889/11019, 70.733/250.0, 51, 1380
23:10:29.884966, 2, 42, 15, 8889/11019, 137.904/250.0, 66, 1845
23:10:29.887149, 3, 47, 26, 8987/11016, 96.431/250.0, 69, 1845
23:10:30.890537, 0, 34, 7, 8889/11019, 88.031/250.0, 54, 1890
23:10:30.892893, 1, 34, 11, 8889/11019, 80.724/250.0, 53, 1875
23:10:30.895108, 2, 52, 20, 8889/11019, 94.73/250.0, 65, 1845
23:10:30.897679, 3, 5, 2, 8987/11016, 177.672/250.0, 72, 1845
23:10:31.901109, 0, 40, 9, 8889/11019, 105.848/250.0, 54, 1890
23:10:31.903527, 1, 38, 14, 8889/11019, 107.678/250.0, 53, 1875
23:10:31.906871, 2, 6, 3, 8889/11019, 147.349/250.0, 67, 1830
23:10:31.909330, 3, 55, 34, 8987/11016, 98.183/250.0, 71, 1845
23:10:32.912908, 0, 19, 4, 8889/11019, 114.07000000000001/250.0, 54, 1890
23:10:32.915807, 1, 25, 8, 8889/11019, 118.89/250.0, 54, 1875
23:10:32.918163, 2, 70, 26, 8889/11019, 95.55/250.0, 65, 1830
23:10:32.920456, 3, 20, 11, 8987/11016, 97.214/250.0, 70, 1845
23:10:33.924831, 0, 64, 11, 8889/11019, 89.744/250.0, 54, 1890
23:10:33.928729, 1, 58, 19, 8889/11019, 80.88/250.0, 53, 1875
23:10:33.930724, 2, 24, 8, 8889/11019, 96.334/250.0, 65, 1830
23:10:33.932586, 3, 0, 0, 8987/11016, 64.418/250.0, 69, 1350
23:10:34.936005, 0, 0, 0, 8889/11019, 60.986000000000004/250.0, 53, 1350
23:10:34.938222, 1, 0, 0, 8889/11019, 54.555/250.0, 52, 1350
23:10:34.940649, 2, 0, 0, 8889/11019, 63.949/250.0, 64, 1350
23:10:34.942816, 3, 5, 0, 8987/11016, 64.26/250.0, 68, 1350
23:10:35.946282, 0, 2, 0, 8889/11019, 60.74/250.0, 53, 1350
23:10:35.948540, 1, 1, 0, 8889/11019, 55.482/250.0, 52, 1350
23:10:35.950774, 2, 9, 0, 8889/11019, 63.555/250.0, 64, 1350
23:10:35.953087, 3, 2, 0, 8987/11016, 64.33500000000001/250.0, 68, 1350
23:10:36.956430, 0, 7, 0, 8889/11019, 63.181000000000004/250.0, 52, 1350
23:10:36.960768, 1, 6, 0, 8889/11019, 55.064/250.0, 52, 1350
23:10:36.963044, 2, 0, 0, 8889/11019, 64.075/250.0, 64, 1350
23:10:36.965287, 3, 6, 4, 8987/11016, 76.221/250.0, 69, 1350
23:10:37.968755, 0, 1, 0, 8889/11019, 65.056/250.0, 53, 1365
23:10:37.970984, 1, 0, 0, 8889/11019, 64.373/250.0, 52, 1365
23:10:37.973394, 2, 12, 5, 8889/11019, 84.561/250.0, 64, 1455
23:10:37.975896, 3, 27, 15, 8987/11016, 75.143/250.0, 69, 1350
23:10:38.980273, 0, 32, 7, 8889/11019, 68.048/250.0, 53, 1350
23:10:38.982602, 1, 24, 8, 8889/11019, 64.294/250.0, 52, 1350
23:10:38.985411, 2, 38, 14, 8889/11019, 131.556/250.0, 66, 1830
23:10:38.995820, 3, 27, 15, 8987/11016, 76.932/250.0, 68, 1350
23:10:39.999799, 0, 33, 8, 8889/11019, 69.28/250.0, 53, 1395
23:10:40.002841, 1, 31, 11, 8889/11019, 65.057/250.0, 52, 1350
23:10:40.005423, 2, 42, 15, 8889/11019, 131.687/250.0, 66, 1830
23:10:40.008022, 3, 30, 16, 8987/11016, 80.04/250.0, 69, 1350
23:10:41.012269, 0, 35, 8, 8889/11019, 70.935/250.0, 53, 1470
23:10:41.022350, 1, 34, 12, 8889/11019, 67.093/250.0, 52, 1470
23:10:41.024522, 2, 44, 16, 8889/11019, 122.387/250.0, 66, 1830
23:10:41.029354, 3, 32, 17, 8987/11016, 76.402/250.0, 69, 1350
23:10:42.035331, 0, 36, 8, 8889/11019, 69.402/250.0, 53, 1470
23:10:42.038711, 1, 37, 12, 8889/11019, 69.575/250.0, 52, 1470
23:10:42.040911, 2, 41, 15, 8889/11019, 131.88/250.0, 66, 1830
23:10:42.043065, 3, 33, 18, 8987/11016, 76.668/250.0, 69, 1350
23:10:43.046417, 0, 33, 8, 8889/11019, 68.487/250.0, 53, 1350
23:10:43.050120, 1, 34, 12, 8889/11019, 63.735/250.0, 52, 1350
23:10:43.052214, 2, 40, 15, 8889/11019, 120.916/250.0, 66, 1830
23:10:43.055032, 3, 33, 18, 8987/11016, 85.527/250.0, 68, 1350
23:10:44.060689, 0, 33, 7, 8889/11019, 68.438/250.0, 53, 1350
23:10:44.063578, 1, 33, 12, 8889/11019, 68.292/250.0, 52, 1350
23:10:44.067892, 2, 40, 15, 8889/11019, 121.10300000000001/250.0, 67, 1830
23:10:44.070218, 3, 33, 18, 8987/11016, 84.282/250.0, 68, 1350
23:10:45.074087, 0, 36, 8, 8889/11019, 68.166/250.0, 53, 1350
23:10:45.077618, 1, 33, 12, 8889/11019, 68.31/250.0, 52, 1350
23:10:45.080615, 2, 41, 15, 8889/11019, 121.37400000000001/250.0, 67, 1830
23:10:45.082813, 3, 33, 18, 8987/11016, 85.623/250.0, 68, 1350
23:10:46.085915, 0, 35, 8, 8889/11019, 68.35000000000001/250.0, 53, 1350
23:10:46.088093, 1, 34, 12, 8889/11019, 68.305/250.0, 52, 1350
23:10:46.090165, 2, 43, 16, 8889/11019, 131.547/250.0, 67, 1830
23:10:46.092367, 3, 34, 19, 8987/11016, 85.869/250.0, 68, 1350
23:10:47.095141, 0, 35, 8, 8889/11019, 67.56/250.0, 52, 1350
23:10:47.097752, 1, 35, 13, 8889/11019, 69.016/250.0, 51, 1350
23:10:47.099882, 2, 42, 16, 8889/11019, 124.074/250.0, 67, 1830
23:10:47.102067, 3, 34, 18, 8987/11016, 83.677/250.0, 68, 1350
23:10:48.106050, 0, 35, 8, 8889/11019, 68.556/250.0, 52, 1350
23:10:48.108875, 1, 36, 13, 8889/11019, 70.162/250.0, 52, 1485
23:10:48.112525, 2, 43, 16, 8889/11019, 135.278/250.0, 67, 1830
23:10:48.117678, 3, 32, 18, 8987/11016, 92.601/250.0, 69, 1530
23:10:49.121544, 0, 49, 11, 8889/11019, 96.29/250.0, 54, 1890
23:10:49.124623, 1, 34, 12, 8889/11019, 73.873/250.0, 52, 1485
23:10:49.127749, 2, 43, 16, 8889/11019, 157.56/250.0, 68, 1830
23:10:49.130324, 3, 49, 27, 8987/11016, 97.618/250.0, 69, 1845
23:10:50.133723, 0, 3, 1, 8889/11019, 103.263/250.0, 54, 1890
23:10:50.135888, 1, 36, 13, 8889/11019, 80.831/250.0, 53, 1875
23:10:50.138095, 2, 58, 22, 8889/11019, 96.83500000000001/250.0, 67, 1830
23:10:50.140233, 3, 2, 1, 8987/11016, 166.04/250.0, 72, 1845
23:10:51.143581, 0, 60, 11, 8889/11019, 112.059/250.0, 55, 1890
23:10:51.145815, 1, 29, 11, 8889/11019, 123.3/250.0, 54, 1875
23:10:51.148288, 2, 2, 1, 8889/11019, 149.084/250.0, 68, 1830
23:10:51.150311, 3, 55, 34, 8987/11016, 98.82900000000001/250.0, 70, 1845
23:10:52.153519, 0, 16, 3, 8889/11019, 89.623/250.0, 54, 1890
23:10:52.156030, 1, 34, 12, 8889/11019, 80.559/250.0, 53, 1875
23:10:52.158052, 2, 56, 21, 8889/11019, 97.86200000000001/250.0, 67, 1830
23:10:52.160071, 3, 15, 9, 8987/11016, 98.922/250.0, 70, 1845
23:10:53.163356, 0, 0, 0, 8889/11019, 88.105/250.0, 53, 1350
23:10:53.165707, 1, 43, 15, 8889/11019, 80.674/250.0, 53, 1875
23:10:53.167966, 2, 41, 15, 8889/11019, 97.61200000000001/250.0, 67, 1830
23:10:53.170013, 3, 0, 0, 8987/11016, 64.458/250.0, 69, 1350
23:10:54.175944, 0, 9, 0, 8889/11019, 60.733000000000004/250.0, 53, 1350
23:10:54.178155, 1, 0, 0, 8889/11019, 56.306000000000004/250.0, 52, 1350
23:10:54.180510, 2, 0, 0, 8889/11019, 64.304/250.0, 65, 1350
23:10:54.182444, 3, 7, 0, 8987/11016, 64.438/250.0, 68, 1350
23:10:55.190604, 0, 0, 0, 8889/11019, 60.579/250.0, 53, 1350
23:10:55.196743, 1, 7, 0, 8889/11019, 55.912/250.0, 52, 1350
23:10:55.199793, 2, 9, 0, 8889/11019, 64.307/250.0, 65, 1350
23:10:55.202269, 3, 0, 0, 8987/11016, 64.276/250.0, 68, 1350
23:10:56.210413, 0, 0, 0, 8889/11019, 60.602000000000004/250.0, 52, 1350
23:10:56.217645, 1, 0, 0, 8889/11019, 54.728/250.0, 52, 1350
23:10:56.224342, 2, 0, 0, 8889/11019, 64.7/250.0, 65, 1350
23:10:56.227026, 3, 0, 0, 8987/11016, 219.87800000000001/250.0, 72, 1725
23:10:57.242113, 0, 40, 25, 8889/11019, 243.061/250.0, 59, 1815
23:10:57.248455, 1, 29, 19, 8889/11019, 244.1/250.0, 56, 1815
23:10:57.254904, 2, 0, 0, 8889/11019, 156.80100000000002/250.0, 68, 1755
23:10:57.257230, 3, 53, 34, 8987/11016, 147.199/250.0, 72, 1845
23:10:58.266256, 0, 71, 43, 8889/11019, 103.955/250.0, 56, 1875
23:10:58.273221, 1, 77, 50, 8889/11019, 113.883/250.0, 55, 1875
23:10:58.281455, 2, 28, 17, 8889/11019, 128.891/250.0, 69, 1830
23:10:58.289644, 3, 62, 40, 8987/11016, 126.214/250.0, 71, 1845
23:10:59.296374, 0, 33, 7, 8889/11019, 103.491/250.0, 56, 1875
23:10:59.302390, 1, 33, 12, 8889/11019, 102.09700000000001/250.0, 54, 1875
