Core_power_sum(W),CPU_power(W),CPU_usage(%),Time(s)
95.0073,132.927,47,493.50698
90.278,128.38,43,494.507936
77.1845,114.954,36,495.508879
80.782,118.018,37,496.509772
87.9938,126.345,43,497.510914
89.1809,127.797,44,498.512073
94.7303,132.949,45,499.513095
99.073,138.147,50,500.514074
99.1599,138.281,50,501.515046
95.1812,134.291,48,502.516166
89.0333,127.344,43,503.517301
82.9576,121.325,40,504.518471
78.0332,115.716,36,505.519544
86.109,124.104,42,506.52054
105.9,144.348,53,507.521612
86.3285,124.768,42,508.522717
86.8324,125.267,41,509.523707
90.2696,128.442,42,510.524557
89.9017,128.21,44,511.525517
85.4535,122.54,40,512.526524
82.5936,120.225,39,513.527486
69.7223,107.128,31,514.528526
77.6693,114.467,34,515.529448
102.428,140.582,52,516.530477
98.4157,137.083,49,517.531512
114.486,153.645,60,518.532681
118.54,158.168,62,519.533732
119.994,159.493,63,520.534796
115.598,155.223,59,521.535924
110.191,149.357,57,522.537247
99.8492,138.923,51,523.540697
105.382,144.09,54,524.541638
105.24,144.191,55,525.542565
95.4572,133.913,47,526.54348
108.386,147.028,53,527.544472
104.029,142.711,52,528.545402
96.7817,134.335,46,529.546225
128.262,166.293,65,530.547085
121.328,160.777,62,531.547952
120.238,159.635,61,532.548913
112.857,152.518,58,533.549865
110.505,149.641,57,534.550753
123.211,162.842,63,535.551819
126.485,164.94,63,536.552831
102.179,141.559,51,537.553621
109.978,148.308,55,538.556778
105.426,143.755,50,539.557926
97.0959,134.938,47,540.5589
119.515,158.262,61,541.559788
111.972,150.993,56,542.560767
115.854,154.285,58,543.561735
123.321,162.258,61,544.56274
114.144,153.232,57,545.563662
113.181,152.394,56,546.564539
100.069,138.859,48,547.56549
99.9859,138.429,48,548.566473
94.9328,133.194,46,549.567577
110.946,149.649,54,550.568475
106.927,146.223,52,551.569461
107.156,146.036,52,552.570501
120.573,159.929,61,553.571807
123.473,162.849,61,554.572833
111.597,150.728,55,555.573714
101.945,140.805,49,556.574487
92.2396,130.403,44,557.575516
95.8637,133.546,47,558.576572
112.193,151.014,56,559.5776
109.247,148.777,56,560.578686
110.378,149.365,56,561.579609
113.92,153.902,58,562.580671
117.05,157.223,60,563.581787
120.967,159.285,60,564.582787
101.439,140.379,50,565.583712
94.3411,132.392,45,566.584734
97.5175,135.891,46,567.585802
97.5253,134.773,48,568.587393
104.94,143.246,55,569.58826
105.283,143.136,55,570.589222
110.967,149.927,56,571.5903
119.881,159.165,60,572.591297
116.749,156.598,58,573.59225
115.855,155.193,57,574.593237
96.3995,134.784,46,575.594205
97.1201,135.546,47,576.595309
96.832,135.412,46,577.596253
110.993,149.4,55,578.597261
109.149,148.529,56,579.598231
112.918,151.579,58,580.599178
117.889,157.07,58,581.600179
116.381,155.516,58,582.60123
112.595,152.38,56,583.602239
108.953,148.102,54,584.603243
111.334,149.872,55,585.604147
108.404,147.912,55,586.605141
92.2381,130.082,44,587.606119
101.31,139.634,49,588.607162
106.722,145.964,52,589.608086
111.314,150.355,55,590.609159
110.483,149.937,55,591.610183
107.884,147.185,54,592.611169
106.817,145.577,53,593.61215
98.0916,136.453,46,594.612962
110.036,149.231,55,595.613916
93.391,131.762,45,596.614854
101.261,139.172,50,597.615848
105.754,143.825,52,598.616773
123.736,161.845,61,599.617838
113.446,152.592,56,600.618739
113.883,152.852,56,601.61966
105.526,144.843,51,602.620664
117.965,156.808,58,603.621593
111.34,150.816,56,604.622635
103.329,142.033,50,605.623631
101.45,140.055,49,606.624638
