Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
23:40:19.162387, 1, 38, 13, 8889/11019, 78.036/250.0, 49, 1875
23:40:19.166095, 2, 68, 25, 8889/11019, 86.143/250.0, 57, 1860
23:40:19.170579, 3, 0, 0, 99/11016, 24.404/250.0, 49, 300
23:40:20.175061, 0, 0, 0, 8889/11019, 62.302/250.0, 58, 1350
23:40:20.179018, 1, 0, 0, 8889/11019, 58.096000000000004/250.0, 48, 1350
23:40:20.182775, 2, 18, 6, 8889/11019, 86.772/250.0, 57, 1860
23:40:20.187232, 3, 0, 0, 99/11016, 24.632/250.0, 49, 300
23:40:21.191868, 0, 7, 0, 8889/11019, 62.154/250.0, 58, 1350
23:40:21.195778, 1, 6, 0, 8889/11019, 51.295/250.0, 48, 1350
23:40:21.201876, 2, 0, 0, 8889/11019, 62.228/250.0, 55, 1350
23:40:21.206685, 3, 0, 0, 99/11016, 24.559/250.0, 49, 300
23:40:22.211262, 0, 2, 0, 8889/11019, 64.72200000000001/250.0, 58, 1350
23:40:22.215205, 1, 1, 0, 8889/11019, 51.457/250.0, 48, 1350
23:40:22.219007, 2, 9, 0, 8889/11019, 61.932/250.0, 55, 1350
23:40:22.224152, 3, 0, 0, 99/11016, 24.549/250.0, 49, 300
23:40:23.229534, 0, 9, 2, 8889/11019, 72.199/250.0, 58, 1350
23:40:23.233945, 1, 10, 4, 8889/11019, 61.477000000000004/250.0, 48, 1350
23:40:23.238219, 2, 0, 0, 8889/11019, 79.923/250.0, 56, 1455
23:40:23.243515, 3, 0, 0, 99/11016, 24.422/250.0, 49, 300
23:40:24.248972, 0, 30, 7, 8889/11019, 69.409/250.0, 58, 1350
23:40:24.253277, 1, 31, 11, 8889/11019, 64.971/250.0, 48, 1350
23:40:24.258866, 2, 28, 11, 8889/11019, 123.044/250.0, 57, 1860
23:40:24.264430, 3, 0, 0, 99/11016, 24.273/250.0, 49, 300
23:40:25.267285, 0, 29, 7, 8889/11019, 69.176/250.0, 57, 1350
23:40:25.272428, 1, 28, 10, 8889/11019, 64.302/250.0, 48, 1350
23:40:25.277729, 2, 41, 16, 8889/11019, 111.932/250.0, 58, 1860
23:40:25.282830, 3, 0, 0, 99/11016, 24.353/250.0, 49, 300
23:40:26.286869, 0, 31, 7, 8889/11019, 71.799/250.0, 57, 1350
23:40:26.290853, 1, 31, 11, 8889/11019, 65.572/250.0, 48, 1350
23:40:26.295374, 2, 39, 15, 8889/11019, 117.787/250.0, 58, 1860
23:40:26.304109, 3, 0, 0, 99/11016, 24.474/250.0, 49, 300
23:40:27.307233, 0, 32, 7, 8889/11019, 69.37/250.0, 57, 1350
23:40:27.311555, 1, 31, 11, 8889/11019, 61.983000000000004/250.0, 48, 1350
23:40:27.317123, 2, 39, 15, 8889/11019, 112.476/250.0, 58, 1860
23:40:27.322782, 3, 0, 0, 99/11016, 24.379/250.0, 49, 300
23:40:28.326286, 0, 33, 8, 8889/11019, 71.837/250.0, 57, 1350
23:40:28.328629, 1, 33, 12, 8889/11019, 64.82300000000001/250.0, 48, 1350
23:40:28.333238, 2, 41, 16, 8889/11019, 124.694/250.0, 58, 1860
23:40:28.337929, 3, 0, 0, 99/11016, 24.252/250.0, 49, 300
23:40:29.341312, 0, 31, 7, 8889/11019, 71.868/250.0, 57, 1350
23:40:29.343594, 1, 32, 11, 8889/11019, 61.659/250.0, 48, 1350
23:40:29.347282, 2, 38, 15, 8889/11019, 124.302/250.0, 59, 1860
23:40:29.354362, 3, 0, 0, 99/11016, 24.394000000000002/250.0, 49, 300
23:40:30.358887, 0, 34, 8, 8889/11019, 69.087/250.0, 57, 1350
23:40:30.363514, 1, 30, 11, 8889/11019, 60.374/250.0, 48, 1350
23:40:30.370936, 2, 39, 15, 8889/11019, 121.56/250.0, 59, 1860
23:40:30.378923, 3, 0, 0, 99/11016, 24.379/250.0, 49, 300
23:40:31.382350, 0, 33, 7, 8889/11019, 69.809/250.0, 57, 1350
23:40:31.386927, 1, 31, 10, 8889/11019, 62.28/250.0, 48, 1350
23:40:31.391096, 2, 39, 15, 8889/11019, 124.461/250.0, 59, 1860
23:40:31.395874, 3, 0, 0, 99/11016, 24.406/250.0, 49, 300
23:40:32.399456, 0, 34, 7, 8889/11019, 69.078/250.0, 57, 1350
23:40:32.406708, 1, 32, 11, 8889/11019, 61.711/250.0, 48, 1350
23:40:32.411312, 2, 40, 15, 8889/11019, 117.161/250.0, 59, 1860
23:40:32.415923, 3, 0, 0, 99/11016, 24.561/250.0, 49, 300
23:40:33.420591, 0, 34, 8, 8889/11019, 69.809/250.0, 56, 1350
23:40:33.425026, 1, 32, 11, 8889/11019, 65.257/250.0, 48, 1350
23:40:33.431696, 2, 39, 15, 8889/11019, 125.024/250.0, 60, 1860
23:40:33.437109, 3, 0, 0, 99/11016, 24.168/250.0, 49, 300
23:40:34.441903, 0, 34, 8, 8889/11019, 81.886/250.0, 57, 1875
23:40:34.446266, 1, 31, 11, 8889/11019, 61.389/250.0, 48, 1350
23:40:34.450961, 2, 41, 16, 8889/11019, 113.73/250.0, 60, 1860
23:40:34.456579, 3, 0, 0, 99/11016, 24.456/250.0, 49, 300
23:40:35.459500, 0, 48, 11, 8889/11019, 89.967/250.0, 57, 1875
23:40:35.465904, 1, 30, 10, 8889/11019, 72.919/250.0, 49, 1350
23:40:35.473338, 2, 46, 18, 8889/11019, 86.667/250.0, 59, 1845
23:40:35.481410, 3, 0, 0, 99/11016, 24.174/250.0, 49, 300
23:40:36.488132, 0, 11, 3, 8889/11019, 116.273/250.0, 58, 1875
23:40:36.493212, 1, 48, 18, 8889/11019, 77.501/250.0, 50, 1875
23:40:36.498323, 2, 10, 4, 8889/11019, 135.332/250.0, 60, 1845
23:40:36.503383, 3, 0, 0, 99/11016, 24.136/250.0, 49, 300
23:40:37.509839, 0, 52, 10, 8889/11019, 89.895/250.0, 58, 1875
23:40:37.513636, 1, 0, 0, 8889/11019, 127.922/250.0, 51, 1875
23:40:37.517592, 2, 69, 26, 8889/11019, 140.927/250.0, 60, 1845
23:40:37.522362, 3, 0, 0, 99/11016, 23.936/250.0, 49, 300
23:40:38.527438, 0, 20, 4, 8889/11019, 91.038/250.0, 58, 1875
23:40:38.531448, 1, 52, 19, 8889/11019, 78.481/250.0, 50, 1875
23:40:38.535347, 2, 16, 5, 8889/11019, 86.836/250.0, 59, 1845
23:40:38.539915, 3, 0, 0, 99/11016, 24.543/250.0, 49, 300
23:40:39.544483, 0, 0, 0, 8889/11019, 61.549/250.0, 56, 1350
23:40:39.548556, 1, 19, 7, 8889/11019, 78.811/250.0, 50, 1875
23:40:39.554965, 2, 0, 0, 8889/11019, 62.829/250.0, 58, 1350
23:40:39.561144, 3, 0, 0, 99/11016, 24.432000000000002/250.0, 49, 300
23:40:40.566544, 0, 9, 0, 8889/11019, 61.745000000000005/250.0, 56, 1350
23:40:40.573828, 1, 0, 0, 8889/11019, 51.905/250.0, 49, 1350
23:40:40.579777, 2, 9, 0, 8889/11019, 62.863/250.0, 58, 1350
23:40:40.586475, 3, 0, 0, 99/11016, 24.256/250.0, 49, 300
23:40:41.591140, 0, 0, 0, 8889/11019, 61.664/250.0, 56, 1350
23:40:41.594772, 1, 7, 0, 8889/11019, 51.927/250.0, 49, 1350
23:40:41.600727, 2, 0, 0, 8889/11019, 62.716/250.0, 58, 1350
23:40:41.605091, 3, 0, 0, 99/11016, 24.313/250.0, 49, 300
23:40:42.609686, 0, 62, 41, 8889/11019, 245.895/250.0, 62, 1755
23:40:42.613724, 1, 0, 0, 8889/11019, 51.731/250.0, 49, 1350
23:40:42.618276, 2, 0, 0, 8889/11019, 60.963/250.0, 58, 1350
23:40:42.623171, 3, 0, 0, 99/11016, 23.767/250.0, 49, 300
23:40:43.629902, 0, 55, 29, 8889/11019, 103.793/250.0, 59, 1860
23:40:43.633883, 1, 0, 0, 8889/11019, 130.085/250.0, 53, 1860
23:40:43.644682, 2, 63, 42, 8889/11019, 247.318/250.0, 63, 1770
23:40:43.649658, 3, 0, 0, 99/11016, 23.972/250.0, 49, 300
23:40:44.654521, 0, 31, 8, 8889/11019, 104.08200000000001/250.0, 59, 1860
23:40:44.661619, 1, 40, 26, 8889/11019, 109.908/250.0, 53, 1875
23:40:44.665829, 2, 63, 36, 8889/11019, 124.327/250.0, 61, 1845
23:40:44.672468, 3, 0, 0, 99/11016, 24.384/250.0, 49, 300
23:40:45.679962, 0, 34, 8, 8889/11019, 80.863/250.0, 57, 1575
23:40:45.688330, 1, 69, 44, 8889/11019, 98.062/250.0, 52, 1875
23:40:45.692591, 2, 39, 15, 8889/11019, 124.259/250.0, 61, 1845
23:40:45.700008, 3, 0, 0, 99/11016, 24.043/250.0, 49, 300
23:40:46.707133, 0, 34, 8, 8889/11019, 73.743/250.0, 57, 1485
23:40:46.711379, 1, 32, 12, 8889/11019, 73.531/250.0, 51, 1605
23:40:46.715255, 2, 39, 15, 8889/11019, 124.649/250.0, 61, 1845
23:40:46.722088, 3, 0, 0, 99/11016, 24.363/250.0, 49, 300
23:40:47.727567, 0, 34, 8, 8889/11019, 72.003/250.0, 56, 1395
23:40:47.734351, 1, 30, 11, 8889/11019, 70.169/250.0, 50, 1455
23:40:47.740188, 2, 40, 15, 8889/11019, 112.898/250.0, 62, 1845
