Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
05:15:04.588163, 0, 62, 14, 8377/11019, 122.322/250.0, 58, 1875
05:15:04.591124, 1, 60, 13, 8377/11019, 119.63/250.0, 58, 1875
05:15:04.594079, 2, 62, 10, 8377/11019, 92.95400000000001/250.0, 64, 1830
05:15:04.600340, 3, 56, 14, 8474/11016, 114.787/250.0, 71, 1860
05:15:05.603657, 0, 64, 16, 8377/11019, 115.026/250.0, 59, 1875
05:15:05.605915, 1, 42, 9, 8377/11019, 109.099/250.0, 59, 1830
05:15:05.608386, 2, 62, 10, 8377/11019, 114.756/250.0, 63, 1830
05:15:05.610765, 3, 58, 15, 8474/11016, 126.066/250.0, 72, 1860
05:15:06.616646, 0, 62, 16, 8377/11019, 131.475/250.0, 59, 1875
05:15:06.620358, 1, 39, 25, 8377/11019, 118.24300000000001/250.0, 59, 1860
05:15:06.624831, 2, 66, 11, 8377/11019, 114.789/250.0, 63, 1830
05:15:06.627226, 3, 59, 15, 8474/11016, 121.10000000000001/250.0, 71, 1860
05:15:07.633279, 0, 62, 15, 8377/11019, 111.229/250.0, 59, 1875
05:15:07.636060, 1, 60, 19, 8377/11019, 118.35600000000001/250.0, 58, 1860
05:15:07.638670, 2, 60, 10, 8377/11019, 104.334/250.0, 63, 1830
05:15:07.641586, 3, 56, 14, 8474/11016, 114.985/250.0, 71, 1860
05:15:08.645625, 0, 61, 14, 8377/11019, 121.272/250.0, 59, 1875
05:15:08.648397, 1, 64, 18, 8377/11019, 125.653/250.0, 59, 1860
05:15:08.651553, 2, 62, 10, 8377/11019, 115.301/250.0, 63, 1830
05:15:08.654499, 3, 56, 14, 8474/11016, 118.453/250.0, 71, 1860
05:15:09.658609, 0, 62, 15, 8377/11019, 125.539/250.0, 59, 1875
05:15:09.661147, 1, 63, 18, 8377/11019, 118.414/250.0, 58, 1860
05:15:09.663490, 2, 62, 10, 8377/11019, 111.76/250.0, 63, 1830
05:15:09.666060, 3, 55, 13, 8474/11016, 115.084/250.0, 72, 1860
05:15:10.670126, 0, 61, 14, 8377/11019, 113.206/250.0, 59, 1875
05:15:10.672582, 1, 62, 18, 8377/11019, 118.93/250.0, 58, 1860
05:15:10.676862, 2, 61, 10, 8377/11019, 115.72800000000001/250.0, 63, 1830
05:15:10.681254, 3, 59, 15, 8474/11016, 115.296/250.0, 72, 1860
05:15:11.684948, 0, 63, 15, 8377/11019, 113.171/250.0, 60, 1875
05:15:11.687503, 1, 63, 18, 8377/11019, 123.34400000000001/250.0, 59, 1860
05:15:11.689875, 2, 62, 10, 8377/11019, 115.839/250.0, 64, 1830
05:15:11.692697, 3, 57, 14, 8474/11016, 106.32900000000001/250.0, 72, 1860
05:15:12.696281, 0, 64, 15, 8377/11019, 113.31700000000001/250.0, 59, 1875
05:15:12.698705, 1, 64, 18, 8377/11019, 118.99000000000001/250.0, 59, 1860
05:15:12.701552, 2, 60, 10, 8377/11019, 110.792/250.0, 64, 1830
05:15:12.704662, 3, 56, 13, 8474/11016, 130.341/250.0, 72, 1860
05:15:13.707702, 0, 64, 15, 8377/11019, 134.032/250.0, 60, 1875
05:15:13.710377, 1, 63, 18, 8377/11019, 119.283/250.0, 59, 1860
05:15:13.713307, 2, 64, 10, 8377/11019, 116.07600000000001/250.0, 64, 1830
05:15:13.716194, 3, 57, 14, 8474/11016, 130.309/250.0, 72, 1860
05:15:14.720068, 0, 65, 15, 8377/11019, 135.082/250.0, 60, 1875
05:15:14.722670, 1, 64, 18, 8377/11019, 120.99900000000001/250.0, 59, 1860
05:15:14.724971, 2, 63, 11, 8377/11019, 116.018/250.0, 64, 1830
05:15:14.727184, 3, 57, 14, 8474/11016, 115.82900000000001/250.0, 72, 1860
05:15:15.731133, 0, 66, 15, 8377/11019, 135.072/250.0, 60, 1875
05:15:15.734618, 1, 67, 19, 8377/11019, 92.57300000000001/250.0, 59, 1860
05:15:15.737011, 2, 64, 11, 8377/11019, 116.348/250.0, 65, 1830
05:15:15.739435, 3, 57, 14, 8474/11016, 101.86/250.0, 72, 1860
05:15:16.743417, 0, 40, 10, 8377/11019, 122.235/250.0, 59, 1875
05:15:16.747618, 1, 35, 10, 8377/11019, 108.44200000000001/250.0, 59, 1860
05:15:16.750324, 2, 66, 11, 8377/11019, 116.367/250.0, 65, 1830
05:15:16.753514, 3, 30, 7, 8474/11016, 112.57600000000001/250.0, 72, 1860
05:15:17.756950, 0, 60, 12, 8377/11019, 122.288/250.0, 60, 1875
05:15:17.759382, 1, 63, 14, 8377/11019, 84.063/250.0, 58, 1860
05:15:17.763337, 2, 66, 11, 8377/11019, 116.259/250.0, 64, 1830
05:15:17.765390, 3, 54, 7, 8474/11016, 112.578/250.0, 72, 1860
05:15:18.769393, 0, 62, 12, 8377/11019, 92.374/250.0, 59, 1875
05:15:18.772998, 1, 24, 4, 8377/11019, 92.351/250.0, 58, 1860
05:15:18.775288, 2, 64, 11, 8377/11019, 116.964/250.0, 65, 1830
05:15:18.777472, 3, 15, 4, 8474/11016, 100.176/250.0, 74, 1785
05:15:19.786963, 0, 27, 5, 8377/11019, 172.073/250.0, 63, 1830
05:15:19.789679, 1, 12, 4, 8377/11019, 122.126/250.0, 59, 1860
05:15:19.792525, 2, 66, 12, 8377/11019, 109.819/250.0, 64, 1830
05:15:19.794883, 3, 68, 37, 8474/11016, 123.85300000000001/250.0, 73, 1845
05:15:20.798735, 0, 55, 32, 8377/11019, 130.299/250.0, 61, 1860
05:15:20.801927, 1, 60, 19, 8377/11019, 119.86500000000001/250.0, 59, 1860
05:15:20.804347, 2, 64, 11, 8377/11019, 116.649/250.0, 65, 1830
05:15:20.806928, 3, 58, 15, 8474/11016, 114.99300000000001/250.0, 72, 1845
05:15:21.810920, 0, 64, 15, 8377/11019, 115.397/250.0, 61, 1860
05:15:21.813937, 1, 64, 18, 8377/11019, 119.49300000000001/250.0, 59, 1860
05:15:21.818107, 2, 43, 6, 8377/11019, 94.005/250.0, 64, 1830
05:15:21.821210, 3, 56, 14, 8474/11016, 118.19200000000001/250.0, 73, 1845
05:15:22.825092, 0, 63, 15, 8377/11019, 113.269/250.0, 61, 1860
05:15:22.828809, 1, 62, 17, 8377/11019, 119.604/250.0, 59, 1860
05:15:22.831320, 2, 55, 5, 8377/11019, 105.544/250.0, 64, 1830
